cred_date,ship_city,ship_state,max_machine,account_id,year,month,day,weekday,weekday_str
2019-07-24,Curitiba,PR,T1,0011L00002WdC77QAF,2019,7,24,2,Qua
2019-07-24,Recife,PE,T1,0011L00002WdB4gQAF,2019,7,24,2,Qua
2019-07-24,Betim,MG,T1,0011L00002Wd777QAB,2019,7,24,2,Qua
2019-07-24,Osasco,SP,T1,0011L00002WdB1DQAV,2019,7,24,2,Qua
2019-07-24,Rio de Janeiro,RJ,T1,0011L00002WdAxkQAF,2019,7,24,2,Qua
2019-07-24,Fortaleza,CE,T1,0011L00002Wd79SQAR,2019,7,24,2,Qua
2019-07-24,Mossoró,RN,T1,0011L00002Wd78eQAB,2019,7,24,2,Qua
2019-07-24,São Paulo,SP,T1,0011L00002Wd78PQAR,2019,7,24,2,Qua
2019-07-24,Anápolis,GO,NONE,0011L00002WdAxbQAF,2019,7,24,2,Qua
2019-07-24,São Sebastião,SP,T1,0011L00002WdB5PQAV,2019,7,24,2,Qua
2019-07-24,Rio de Janeiro,RJ,T1,0011L00002WdC7RQAV,2019,7,24,2,Qua
2019-07-24,Maricá,RJ,NONE,0011L00002Wd7AkQAJ,2019,7,24,2,Qua
2019-07-25,Rio de Janeiro,RJ,T1,0011L00002WdB8JQAV,2019,7,25,3,Qui
2019-07-25,Cariacica,ES,T1,0011L00002WdFSdQAN,2019,7,25,3,Qui
2019-07-25,Contagem,MG,NONE,0011L00002WdJk2QAF,2019,7,25,3,Qui
2019-07-25,Belo Horizonte,MG,NONE,0011L00002WdAzbQAF,2019,7,25,3,Qui
2019-07-25,Mirassol,SP,T1,0011L00002WdJleQAF,2019,7,25,3,Qui
2019-07-25,Itajaí,SC,NONE,0011L00002WdB3EQAV,2019,7,25,3,Qui
2019-07-25,Porto Alegre,RS,NONE,0011L00002WdJbjQAF,2019,7,25,3,Qui
2019-07-25,Itapema,SC,T1,0011L00002Wd74XQAR,2019,7,25,3,Qui
2019-07-25,Loanda,PR,T1,0011L00002WdJgjQAF,2019,7,25,3,Qui
2019-07-25,Mairiporã,SP,T1,0011L00002WdJf2QAF,2019,7,25,3,Qui
2019-07-25,Paulista,PE,T1,0011L00002WdFVrQAN,2019,7,25,3,Qui
2019-07-25,São Paulo,SP,NONE,0011L00002WdJbZQAV,2019,7,25,3,Qui
2019-07-25,Mogi das Cruzes,SP,T1,0011L00002WdJkcQAF,2019,7,25,3,Qui
2019-07-25,Salvador,BA,T1,0011L00002WdJqeQAF,2019,7,25,3,Qui
2019-07-25,Resende,RJ,T1,0011L00002WdJesQAF,2019,7,25,3,Qui
2019-07-26,Americana,SP,NONE,0011L00002WdFbuQAF,2019,7,26,4,Sex
2019-07-26,Feira de Santana,BA,T1,0011L00002WdRgsQAF,2019,7,26,4,Sex
2019-07-26,Caaporã,PB,NONE,0011L00002WdNonQAF,2019,7,26,4,Sex
